Year,Temperature
1880,-0.14
1881,-0.06
1882,0.16
1883,-0.57
1884,-0.25
1885,-0.7
1886,-0.21
1887,-0.69
1888,-0.38
1889,-0.12
1890,-0.45
1891,-0.57
1892,-0.33
1893,-1.3
1894,-0.67
1895,-0.67
1896,-0.25
1897,-0.31
1898,0.09
1899,-0.08
1900,-0.52
1901,-0.18
1902,-0.02
1903,-0.18
1904,-0.68
1905,-0.43
1906,-0.3
1907,-0.47
1908,-0.41
1909,-0.67
1910,-0.26
1911,-0.61
1912,-0.41
1913,-0.47
1914,0.27
1915,-0.16
1916,-0.11
1917,-0.5
1918,-0.37
1919,-0.43
1920,-0.21
1921,0.06
1922,-0.38
1923,-0.17
1924,-0.31
1925,-0.37
1926,0.33
1927,-0.29
1928,0.08
1929,-0.64
1930,-0.28
1931,0.05
1932,0.34
1933,-0.34
1934,-0.31
1935,-0.37
1936,-0.32
1937,-0.16
1938,0.19
1939,-0.08
1940,-0.13
1941,0.26
1942,0.28
1943,-0.13
1944,0.51
1945,0.13
1946,0.32
1947,-0.23
1948,0.28
1949,0.28
1950,-0.36
1951,-0.28
1952,0.18
1953,0.16
1954,-0.26
1955,0.38
1956,-0.06
1957,-0.14
1958,0.58
1959,0.27
1960,0.1
1961,0.2
1962,0.28
1963,0.19
1964,0.08
1965,-0.02
1966,-0.09
1967,-0.13
1968,-0.25
1969,-0.42
1970,0.05
1971,-0.02
1972,-0.59
1973,0.09
1974,-0.36
1975,0.16
1976,0.06
1977,-0.19
1978,0.2
1979,0.04
1980,0.25
1981,0.75
1982,-0.03
1983,0.5
1984,0.29
1985,0.1
1986,0.37
1987,0.21
1988,0.56
1989,0.08
1990,0.35
1991,0.53
1992,0.57
1993,0.4
1994,0.29
1995,0.72
1996,0.24
1997,0.38
1998,0.59
1999,0.61
2000,0.4
2001,0.49
2002,0.91
2003,0.87
2004,0.69
2005,0.8
2006,0.51
2007,1.32
2008,0.25
2009,0.74
2010,0.81
2011,0.51
2012,0.52
2013,0.7
2014,0.85
2015,1.08
2016,1.39
2017,1.25
2018,0.96
2019,1.13
2020,1.49
2021,1.09
