Date,MarketPrice,MinersRevenue,TradeVolume,TransctionFee,TransactionPerSec,Return
2/19/2019,3910.8,7748245.938,429150386.5,0.410798736,3.1,0.004022195
2/20/2019,3926.53,6596656.215,374321248.7,0.467981591,3.5,0.015446208
2/21/2019,3987.18,6051778.486,235445371.3,0.457964261,4.816666667,-0.010609002
2/22/2019,3944.88,8096363.882,196426384.2,0.43701473,3.166666667,0.009784835
2/23/2019,3983.48,7190247.783,157385980.3,0.308209972,2.383333333,0.039191862
2/24/2019,4139.6,7119748.032,242874099,0.368826052,3.466666667,-0.090035269
2/25/2019,3766.89,6913971.366,400105758.7,0.437795357,3.7,0.021619957
2/26/2019,3848.33,7878415.307,1734750236,0.375138468,3.866666667,-0.004386318
2/27/2019,3831.45,6801908.847,127504717.3,0.359796107,4.75,0.000464576
2/28/2019,3833.23,7350871.435,226984139.5,0.311012409,3.75,0.004395771
3/1/2019,3850.08,7830758.118,245942956.4,0.327904987,3.183333333,-0.004015501
3/2/2019,3834.62,6565214.955,156175559.7,0.286647422,3.883333333,-0.000829287
3/3/2019,3831.44,7016670.618,120293269.6,0.229766112,3.95,-0.004400434
3/4/2019,3814.58,6497311.764,79501797.94,0.348014269,3.516666667,-0.021915912
3/5/2019,3730.98,7114388.352,216413666.7,0.38270381,3.333333333,0.037864046
3/6/2019,3872.25,6388631.337,278485172.5,0.534873557,2.616666667,0.00118794
3/7/2019,3876.85,7588198.88,148582990,0.513110446,3.966666667,0.002571675
3/8/2019,3886.82,7193574.076,136348518.4,0.468751144,3.333333333,-0.002794058
3/9/2019,3875.96,7087594.993,317288682.5,0.398737322,2.733333333,0.019246845
3/10/2019,3950.56,6690849.408,111238999.4,0.348878264,2.633333333,-0.005667551
3/11/2019,3928.17,6977449.877,83936704.46,0.403383399,2.833333333,-0.011985225
3/12/2019,3881.09,7088005.704,116557011.3,0.423441191,2.666666667,0.002942472
3/13/2019,3892.51,6637474.194,209075742.7,0.485384844,3.616666667,-0.00378676
3/14/2019,3877.77,7600598.594,159688391.2,0.481901031,2.666666667,0.001918628
3/15/2019,3885.21,7723228.792,168146954.6,0.406077446,4.05,0.013201346
3/16/2019,3936.5,8496146.107,296835128.5,0.338687293,2.55,0.020182904
3/17/2019,4015.95,7297849.339,184298451.3,0.292492362,2.35,-0.005236619
3/18/2019,3994.92,8269486.756,105693358.7,0.303633708,4,0.000963724
3/19/2019,3998.77,8830120.093,115735520.4,0.290456263,2.9,0.007587333
